priority,company_name,segment,mc_studio_analog,recommended_offer,why_interesting,email_angle,source_url,confidence,next_action
1,Novea Conseil,Courtage energie B2B,R&A Energy,Site + CRM commercial,"Courtier energie pour professionnels et collectivites; logique devis et suivi contrats.","Votre parcours devis energie peut probablement gagner en clarte et en suivi commercial.",https://noveaconseil.fr/contact.html,Medium,Verifier dirigeant/contact pro pertinent
2,Agua Proprete,Nettoyage professionnel,Souji Nova,Landing / site 5 pages,"Nettoyage pro avec devis en 4 etapes: bureaux, commerces, industrie, coproprietes.","Votre demande de devis pourrait devenir un parcours plus rassurant et plus direct.",https://agua-proprete.com/,Medium,Auditer page devis et mobile
3,Nabila Conciergerie,Conciergerie courte duree,Souji Nova / app metier,Landing + mini CRM operations,"Conciergerie IDF avec devis gratuit, appel decouverte et operations multiples.","Votre acquisition proprietaires peut etre structuree comme un tunnel devis + suivi.",https://nabilaconciergerie.fr/,Medium,Verifier page principale et formulaire
4,Leccau,Expertise comptable associations,Shika Consulting,Site 5 pages,"Cabinet specialise associations et fonds de dotation; besoin de confiance et RDV.","Votre specialisation associations merite une page plus commerciale et plus lisible.",https://leccau.fr/cabinet-expert-comptable-paris/,High,Identifier associe ou contact cabinet
5,TaxiVtcParis,VTC / transport B2B,Fontaines VTC,App reservation / espace client,"Demande de devis, facturation entreprise et espace client mentionnes.","Votre formulaire cree deja un espace client: il y a peut-etre un outil reservation/facturation a fluidifier.",https://taxivtcparis.fr/contact.html,Medium,Verifier parcours formulaire
6,SEGURA ESFORMA,Formation securite entreprise,Shika / app metier,Landing + devis automatise,"Formation SST/incendie avec devis express, obligations et documents Qualiopi.","Votre devis express est un tres bon actif; on peut le rendre plus visible et plus vendeur.",https://www.esforma.fr/,Medium,Auditer tunnel devis
7,SANILUT GROUP,Nettoyage pro IDF / AURA,Souji Nova / app metier,App operations / portail B2B,"B2B, sous-traitance, bureaux, coworking, coproprietes, reservation, rapport photo, suivi terrain.","Votre promesse terrain est forte; un portail client/rapport peut devenir un avantage commercial.",https://www.sanilut.fr/,High,Pitch app operations plutot que refonte site
8,EXE Conseil,Expertise comptable TPE/PME/asso,Shika Consulting,Site / pages verticales,"Pages par profil, associations & SCOP, tableaux de bord, solutions digitales et IA.","Vos verticales sont riches; on peut en faire des pages d'acquisition plus directes.",https://exe-conseil.fr/profils/association,Medium,Verifier cible exacte et contact
9,Alertis,Formation securite / SST,Shika / app metier,Site + devis/booking,"Formation securite, secourisme, habilitation electrique, devis sous 24h, reseau national.","Vos demandes devis peuvent etre segmentees par risque/formation pour augmenter la qualite des leads.",https://www.alertis.fr/contact/,Medium,Verifier formulaire et contact commercial
10,Allure VTC,VTC Essonne / aeroport / corporate,Fontaines VTC,Site 5 pages / tunnel devis,"VTC transferts aeroport, longues distances, mise a disposition, devis.","Votre offre corporate peut etre mieux separee du particulier pour capter les entreprises.",https://www.allurevtc.fr/contact,Medium,Verifier presence offres entreprises
11,Fid'Asso,Expertise comptable associations,Shika Consulting,Site 5 pages / contenu SEO,"Cabinet dedie associations, fondations, fonds de dotation; actualites recentes.","Votre expertise association peut devenir une page d'entree tres claire pour les dirigeants associatifs.",https://www.fid-asso.fr/,Medium,Identifier contact cabinet
12,JLD Conciergerie VUH,Conciergerie Haute-Savoie / Ain,Souji Nova,Landing / parcours devis,"Conciergerie locale avec devis ecrit sous 48h; offre dependante de la confiance locale.","Votre page peut rassurer plus vite les proprietaires qui comparent plusieurs conciergeries.",https://jldconciergerie.fr/,Medium,Auditer page d'accueil
13,DGA Expert-Comptable,Expertise comptable associations,Shika Consulting,Site vertical / refonte,"Expertise associations/fondations avec implantation Paris et regions.","Votre page association est dense; on peut la transformer en parcours prise de RDV plus clair.",https://dga-expert-comptable.com/expert-comptable-association/,Medium,Verifier bon interlocuteur pro
14,CFORPRO,Formation professionnelle entreprises,Shika / app metier,Landing + funnel devis,"Formations entreprises, OPCO, Qualiopi, devis gratuit, nombreux programmes.","Votre offre entreprise a beaucoup d'elements de confiance; on peut mieux organiser le devis.",https://www.cforpro.com/entreprises.php,Medium,Verifier formulaire entreprise
15,Eleksa,Courtage energie B2B,R&A Energy,Produit / portail / CRO,"Courtier energie B2B avec compte gratuit, depot facture, audit, signature et suivi.","Votre parcours digital est deja la; MC Studio peut aider a le rendre plus fluide ou plus premium.",https://eleksa.fr/,Medium,Qualifier besoin app/CRO avant pitch
