EMAIL,FIRSTNAME,LASTNAME,STARTUP,SALUTATION,SUBJECT_LINE,INTRO,OBSERVATION,LANDING_IDEA,OFFER_CTA,SOURCE_SITE,PRIORITY,SEQUENCE_DAY,DATA_ORIGIN,STATUS
contact@uplace.fr,,,Uplace,"Bonjour l’équipe Uplace,",Uplace : rendre les 60 % de temps gagné visibles dès le hero,"Je suis retourné sur votre parcours destiné aux agents immobiliers. Le contraste entre les candidatures dispersées, les 450 contrôles par dossier et la centralisation dans Uplace raconte déjà très bien le problème.","En revanche, vos trois preuves les plus fortes — 60 % de temps gagné, 100 % des candidatures traitées et 88 % des visites honorées — arrivent après beaucoup de contenu. Elles pourraient porter la démonstration dès le premier écran.","Je verrais une landing courte construite comme un avant/après : boîte mail saturée, activation d’un lot, présélection puis planification automatique, avec un écran produit et une preuve client à chaque étape.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://uplace.fr/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@chat3d.ai,,,Chat3D,"Bonjour l’équipe Chat3D,",Chat3D : montrer le gain x5 sur un workflow 3D concret,"J’ai parcouru votre présentation des outils sur mesure, du blocking jusqu’à la validation, en passant par la retopologie, les UV et le texturing. La profondeur technique est évidente.",Le visiteur doit toutefois reconstituer lui-même le bénéfice global. Votre promesse de multiplier jusqu’à cinq la productivité des artistes serait plus crédible si elle était reliée à un seul asset suivi de bout en bout.,"Une landing pourrait montrer une référence initiale, les étapes automatisées dans le logiciel du studio, puis l’asset validé selon les contraintes AAA — tout en insistant sur votre approche ciblée, et non sur une automatisation “boîte noire”.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://chat3d.ai/,Haute,J1,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@sopht.com,,,Sopht,"Bonjour l’équipe Sopht,",Sopht : faire du ROI x4 le fil rouge de la page,"J’ai regardé comment vous reliez les données cloud, on-premise, terminaux et applications pour produire des actions prioritaires sur les coûts et le carbone.",Les preuves sont fortes — jusqu’à 4 € d’économies pour 1 € investi et 1 tCO₂e évitée pour 10 € — mais elles restent assez éloignées du parcours produit qui les rend possibles.,"Je verrais une landing en trois temps : connexion du parc IT, recommandations classées par ROI, puis trajectoire budget/CO₂ avec responsables et objectifs. Cela rendrait le passage de la mesure à la décision immédiatement visible.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://sopht.com/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@urgentime.com,,,Urgentime,"Bonjour l’équipe Urgentime,",Urgentime : montrer un visio-diagnostic en trois écrans,"Je suis allé voir votre promesse de visio-diagnostic sans installation côté client, déjà adoptée par des groupes comme Orange, EDF ou Leroy Merlin.","Le message “stop aux déplacements inutiles” est clair, mais le déroulé réel d’une intervention reste moins immédiat pour un nouveau visiteur.","Une landing dédiée pourrait montrer le lien reçu par SMS, l’ouverture de la caméra et l’assistance en direct, puis la résolution documentée et le déplacement évité. Trois écrans suffiraient à rendre la valeur opérationnelle très concrète.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.urgentime.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact-us@wecount.io,,,WeCount,"Bonjour l’équipe WeCount,",WeCount : transformer le -48 % tCO₂e en parcours concret,"J’ai parcouru votre nouvelle page Climat & ESG, avec la plateforme, l’expertise de vos équipes et les résultats affichés auprès de plus de 700 entreprises.","Le -48 % tCO₂e visible dans le hero attire l’attention, mais un visiteur ne comprend pas encore immédiatement quelles étapes de WeCount produisent ce résultat.","Une landing pourrait suivre une entreprise de la collecte de données à la priorisation du plan d’action, puis au pilotage de la trajectoire. Cela clarifierait aussi la complémentarité entre logiciel, accompagnement et formation.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.wecount.io/,Haute,J1,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@oligofeed.com,,,Oligofeed,"Bonjour l’équipe Oligofeed,",Pep’up : relier dix ans de recherche au quotidien de l’apiculteur,"J’ai découvert votre approche de micronutrition animale issue de plus de dix ans de recherche, ainsi que le constat très marquant des 20 % de pertes d’abeilles considérées comme une “bonne année”.","La crédibilité scientifique est forte, mais le passage entre cette recherche et l’usage concret de Pep’up reste encore discret sur la page d’accueil.","Je verrais une landing qui suit une saison apicole : problème observé, protocole Pep’up, bénéfice attendu et preuves issues des essais. Cela parlerait directement aux apiculteurs sans réduire la profondeur scientifique du projet.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://oligofeed.com/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
info@miuros.com,,,Miuros,"Bonjour l’équipe Miuros,",Miuros by Dixa : clarifier le rôle de l’analytics CX,J’ai vu que miuros.com renvoie désormais vers Dixa et présente Miuros comme un “data scientist virtuel” pour les équipes de service client internationales.,"Entre analytics, quality assurance et automatisation, la valeur du produit peut se diluer dans l’écosystème Dixa, alors que vos tableaux de bord flexibles et les opportunités de coaching constituent un cas d’usage très lisible.","Une landing dédiée pourrait partir d’un lot de conversations, montrer la détection d’un problème qualité, puis l’action de coaching et l’amélioration mesurée. Le rôle propre de Miuros deviendrait immédiatement évident.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://miuros.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@wizaplace.com,,,Wizaplace,"Bonjour l’équipe Wizaplace,",Wizaplace : une landing par projet marketplace,"J’ai parcouru votre solution tout-en-un et ses nombreux terrains de jeu : marketplace B2B, B2C, centrale d’achats, économie circulaire, banque et assurance.","Cette richesse prouve la modularité de Wizaplace, mais elle oblige un prospect à chercher longtemps le scénario qui correspond à son projet. Vos arguments de déploiement rapide et d’absence de commission méritent aussi d’être reliés à un cas précis.","Je verrais une landing par cas d’usage — par exemple économie circulaire ou centrale d’achats — avec le lancement en étapes, les écrans opérateur/vendeur et une preuve de mise en marché en quelques mois.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.wizaplace.com/,Basse,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@cosmotech.com,,,Cosmo Tech,"Bonjour l’équipe Cosmo Tech,",Cosmo Tech : montrer une décision simulée avant qu’elle coûte,"J’ai regardé votre positionnement AI-Simulation sur les portefeuilles d’actifs et la supply chain, avec la promesse de tester des scénarios complexes avant leur déploiement.","La plateforme est puissante, mais les notions d’interdépendances, de données synthétiques et de stratégie résiliente restent abstraites sans une décision métier mise en scène.","Une landing pourrait suivre un scénario unique : situation de référence, choc sur le réseau ou la supply chain, options simulées puis stratégie retenue, avec votre accélération du time-to-value jusqu’à 20x comme preuve finale.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://cosmotech.com/,Basse,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@edenai.co,,,Eden AI,"Bonjour l’équipe Eden AI,","Eden AI : une landing « 1 API, 500+ modèles »","J’ai parcouru votre offre actuelle : plus de 500 modèles accessibles via une API, comparaison par prix, performance et région, endpoint européen et fallback automatique.","Les preuves de confiance sont solides — 200 000 développeurs, 99,99 % d’uptime, ZDR, SOC 2 et ISO 27001 — mais la différence pourrait être comprise encore plus vite dans un scénario de production.","Je verrais une landing avec un même appel API routé entre deux fournisseurs, puis un basculement automatique lors d’une indisponibilité et le gain de coût obtenu. La souveraineté et le contrôle deviendraient tangibles en quelques secondes.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.edenai.co/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
